time,INTERNALENERGY,KINETICENERGY,X-MOMENTUM,Y-MOMENTUM,Z-MOMENTUM,MASS,TIMESTEP,ROTATIONENERGY,EXTERNALWORK,SPRINGENERGY,CONTACTENERGY,HOURGLASSENERGY,ELASTICCONTACTENERGY,FRICTIONALCONTACTENERGY,DAMPINGCONTACTENERGY,PLASTICWORK,ADDEDMASS,PERCENTAGEADDEDMASS,INLETMASS,OUTLETMASS,INLETENERGY,OUTLETENERGY,TH_Measuring_Nodes1000002var23,TH_Measuring_Nodes1000002var24,TH_Measuring_Nodes1000002var25,TH_Measuring_Nodes1000002var26,TH_Measuring_Nodes1000002var27,TH_Measuring_Nodes1000002var28,THRBODY1Fixed_End_RBODYvar29,THRBODY1Fixed_End_RBODYvar30,THRBODY1Fixed_End_RBODYvar31,THRBODY1Fixed_End_RBODYvar32,THRBODY1Fixed_End_RBODYvar33,THRBODY1Fixed_End_RBODYvar34,THRBODY1Fixed_End_RBODYvar35,THRBODY1Fixed_End_RBODYvar36,THRBODY1Fixed_End_RBODYvar37,THRBODY2Moving_End_RBODYvar38,THRBODY2Moving_End_RBODYvar39,THRBODY2Moving_End_RBODYvar40,THRBODY2Moving_End_RBODYvar41,THRBODY2Moving_End_RBODYvar42,THRBODY2Moving_End_RBODYvar43,THRBODY2Moving_End_RBODYvar44,THRBODY2Moving_End_RBODYvar45,THRBODY2Moving_End_RBODYvar46
1.001457e-04,2.042555e+02,1.974268e+01,4.283579e-02,-1.443485e-07,-5.681669e-19,5.866953e-05,1.791944e-07,1.526620e-30,2.240231e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.001457e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,1.846322e-01,4.862176e-05,3.060862e-19,2.696418e-18,-6.984417e-18,-1.697012e-03,0.000000e+00,0.000000e+00,0.000000e+00,-2.213573e-01,-4.760202e-05,2.799630e-19,-2.451182e-19,7.646094e-18,1.037823e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.100014e-04,2.457245e+02,1.410417e+01,2.131128e-02,-7.911781e-05,-9.199456e-19,5.866953e-05,1.791958e-07,2.348767e-30,2.598545e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100014e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,2.419320e-01,5.108053e-05,1.522852e-19,2.454221e-18,-7.120175e-18,-2.200479e-03,0.000000e+00,0.000000e+00,0.000000e+00,-2.571809e-01,2.770015e-05,7.583909e-19,-2.193421e-18,1.656645e-17,-1.159281e-04,0.000000e+00,0.000000e+00,0.000000e+00
1.200363e-04,2.894161e+02,8.221727e+00,1.518885e-02,-7.527832e-05,-1.956771e-18,5.866953e-05,1.791949e-07,2.806016e-30,2.976701e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.200363e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,2.859561e-01,3.499086e-05,2.584906e-19,5.600808e-19,-9.899464e-18,-3.387276e-03,0.000000e+00,0.000000e+00,0.000000e+00,-2.950348e-01,4.070416e-05,1.656363e-18,8.326101e-19,2.902269e-17,-6.646374e-04,0.000000e+00,0.000000e+00,0.000000e+00
1.300715e-04,3.402396e+02,6.285053e+00,1.533768e-02,-5.862863e-05,-2.674117e-18,5.866953e-05,1.791992e-07,3.962727e-30,3.465538e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.300715e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,3.346060e-01,2.628413e-05,6.632504e-19,-3.898810e-18,-1.518611e-17,-4.229932e-03,0.000000e+00,0.000000e+00,0.000000e+00,-3.441148e-01,3.222461e-05,2.018035e-18,1.870236e-18,3.502747e-17,-4.590946e-04,0.000000e+00,0.000000e+00,0.000000e+00
1.401066e-04,3.952587e+02,1.998416e+01,3.523583e-02,-5.175239e-05,-2.715700e-18,5.866953e-05,1.792000e-07,4.506512e-30,4.152703e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.401066e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,3.834918e-01,3.307146e-05,5.796599e-19,-2.884735e-18,-1.520418e-17,-4.896435e-03,0.000000e+00,0.000000e+00,0.000000e+00,-4.129153e-01,1.895888e-05,2.169616e-18,-2.986624e-18,3.913804e-17,6.427451e-05,0.000000e+00,0.000000e+00,0.000000e+00
1.501419e-04,4.502711e+02,1.979616e+01,3.946708e-02,-3.078852e-05,-1.967508e-18,5.866953e-05,1.792064e-07,4.699202e-30,4.701038e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.501419e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,4.341129e-01,2.173323e-05,-1.478776e-19,-3.918694e-18,-1.053294e-17,-5.886667e-03,0.000000e+00,0.000000e+00,0.000000e+00,-4.676476e-01,8.267534e-06,2.244691e-18,-1.541021e-18,4.064117e-17,6.324680e-04,0.000000e+00,0.000000e+00,0.000000e+00
1.601780e-04,5.131343e+02,2.204303e+01,4.491251e-02,-5.529825e-05,-3.300255e-18,5.866953e-05,1.792314e-07,5.659723e-30,5.352106e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.601780e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,4.939081e-01,7.861545e-05,1.368794e-18,-1.647590e-18,-2.766282e-17,-5.998218e-03,0.000000e+00,0.000000e+00,0.000000e+00,-5.327469e-01,-2.325197e-05,1.956469e-18,-2.403715e-18,3.662188e-17,1.501193e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.700358e-04,5.799815e+02,1.430677e+01,2.651631e-02,-4.422818e-05,-5.865692e-19,5.866953e-05,1.792319e-07,5.719136e-30,5.943159e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.700358e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,5.715080e-01,5.510099e-05,1.208319e-18,4.621175e-18,-2.750882e-17,-7.274274e-03,0.000000e+00,0.000000e+00,0.000000e+00,-5.918943e-01,-1.027384e-05,-6.583659e-19,-1.510172e-18,1.023106e-17,1.331139e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.800728e-04,6.477506e+02,8.821373e+00,1.629714e-02,-4.397079e-05,-3.990388e-18,5.866953e-05,1.792395e-07,6.575229e-30,6.566061e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.800728e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,6.438401e-01,5.788730e-06,2.346239e-18,6.245081e-19,-3.529989e-17,-9.366618e-03,0.000000e+00,0.000000e+00,0.000000e+00,-6.541764e-01,3.768290e-05,1.702598e-18,-1.177522e-18,3.042503e-17,5.660331e-04,0.000000e+00,0.000000e+00,0.000000e+00
1.901099e-04,7.204327e+02,6.826036e+00,1.202619e-02,-8.844034e-05,-2.198184e-18,5.866953e-05,1.792365e-07,6.360181e-30,7.272950e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.901099e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,7.189595e-01,6.552459e-05,1.369545e-18,-4.970939e-18,-2.376031e-17,-9.652403e-03,0.000000e+00,0.000000e+00,0.000000e+00,-7.250063e-01,2.328800e-05,8.242422e-19,-7.195588e-18,2.373099e-17,9.612382e-04,0.000000e+00,0.000000e+00,0.000000e+00
